borough,code,no_properties (1+ beds),no_properties (2+ beds),difference
Croydon,locationIdentifier=REGION%5E93944,1967,1431,536
Bromley,locationIdentifier=REGION%5E93938,1138,932,206
Barnet,locationIdentifier=REGION%5E93929,969,609,360
Newham,locationIdentifier=REGION%5E61231,950,580,370
Lewisham,locationIdentifier=REGION%5E61413,914,580,334
Hillingdon,locationIdentifier=REGION%5E93959,909,678,231
Ealing,locationIdentifier=REGION%5E93947,883,543,340
Havering,locationIdentifier=REGION%5E61228,873,790,83
Enfield,locationIdentifier=REGION%5E93950,828,681,147
Greenwich,locationIdentifier=REGION%5E61226,816,574,242
Tower Hamlets,locationIdentifier=REGION%5E61417,802,370,432
Lambeth,locationIdentifier=REGION%5E93971,763,424,339
Bexley,locationIdentifier=REGION%5E93932,757,709,48
Sutton,locationIdentifier=REGION%5E93974,726,587,139
Hounslow,locationIdentifier=REGION%5E93962,708,476,232
Brent,locationIdentifier=REGION%5E93935,697,459,238
Harrow,locationIdentifier=REGION%5E93956,695,526,169
Redbridge,locationIdentifier=REGION%5E61537,641,522,119
Wandsworth,locationIdentifier=REGION%5E93977,617,266,351
Southwark,locationIdentifier=REGION%5E61518,606,304,302
Barking and Dagenham,locationIdentifier=REGION%5E61400,603,521,82
Waltham Forest,locationIdentifier=REGION%5E61232,584,412,172
Merton,locationIdentifier=REGION%5E61414,554,389,165
Kingston upon Thames,locationIdentifier=REGION%5E93968,486,310,176
Haringey,locationIdentifier=REGION%5E61227,465,286,179
Richmond upon Thames,locationIdentifier=REGION%5E61415,341,215,126
Hackney,locationIdentifier=REGION%5E93953,312,123,189
Islington,locationIdentifier=REGION%5E93965,285,69,216
Hammersmith and Fulham,locationIdentifier=REGION%5E61407,205,51,154
Camden,locationIdentifier=REGION%5E93941,153,29,124
Westminster,locationIdentifier=REGION%5E93980,128,24,104
Kensington and Chelsea,locationIdentifier=REGION%5E61229,56,8,48
City of London,locationIdentifier=REGION%5E61224,4,0,4
